#;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;HOGARES AFILIADOS;HOGARES ABONADOS;MIEMBROS OBJETIVOS;TRANSFERENCIA
1;010102;AMAZONAS;CHACHAPOYAS;ASUNCION;25;20;41;4700
2;010103;AMAZONAS;CHACHAPOYAS;BALSAS;106;103;212;24900
3;010104;AMAZONAS;CHACHAPOYAS;CHETO;50;51;81;10400
4;010105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;72;70;111;16300
5;010106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;220;207;440;42899.64
6;010107;AMAZONAS;CHACHAPOYAS;GRANADA;21;20;38;4000
7;010108;AMAZONAS;CHACHAPOYAS;HUANCAS;25;23;45;5000
8;010109;AMAZONAS;CHACHAPOYAS;LA JALCA;657;649;1413;138400
9;010110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;324;315;605;66499.74
10;010111;AMAZONAS;CHACHAPOYAS;LEVANTO;74;56;125;11800
11;010112;AMAZONAS;CHACHAPOYAS;MAGDALENA;73;66;137;14000
12;010113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;72;75;129;17100
13;010114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;211;195;380;40500
14;010115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;36;37;76;7400
15;010116;AMAZONAS;CHACHAPOYAS;OLLEROS;33;37;47;7300
16;010117;AMAZONAS;CHACHAPOYAS;QUINJALCA;103;103;173;21400
17;010118;AMAZONAS;CHACHAPOYAS;SAN FCO. DE DAGUAS;5;6;11;1200
18;010119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;47;47;88;9400
19;010120;AMAZONAS;CHACHAPOYAS;SOLOCO;120;120;203;23700
20;010121;AMAZONAS;CHACHAPOYAS;SONCHE;20;17;41;4300
21;010202;AMAZONAS;BAGUA;ARAMANGO;1165;1129;2272;257699.56
22;010203;AMAZONAS;BAGUA;COPALLIN;624;629;991;129000
23;010204;AMAZONAS;BAGUA;EL PARCO;159;159;262;32899.91
24;010205;AMAZONAS;BAGUA;IMAZA;4139;4075;9989;847499.16
25;010206;AMAZONAS;BAGUA;LA PECA;789;786;1272;163700
26;010301;AMAZONAS;BONGARA;JUMBILLA;69;70;131;13800
27;010302;AMAZONAS;BONGARA;CHISQUILLA;38;36;75;8900
28;010303;AMAZONAS;BONGARA;CHURUJA;10;10;17;2000
29;010304;AMAZONAS;BONGARA;COROSHA;126;125;237;29000
30;010305;AMAZONAS;BONGARA;CUISPES;57;56;104;11600
31;010306;AMAZONAS;BONGARA;FLORIDA;246;248;438;49000
32;010307;AMAZONAS;BONGARA;JAZAN;370;367;617;72900
33;010308;AMAZONAS;BONGARA;RECTA;25;22;38;4700
34;010310;AMAZONAS;BONGARA;SHIPASBAMBA;168;144;307;30700
35;010311;AMAZONAS;BONGARA;VALERA;51;54;75;12000
36;010312;AMAZONAS;BONGARA;YAMBRASBAMBA;622;611;1189;131299.36
37;010401;AMAZONAS;CONDORCANQUI;NIEVA;3455;3291;8605;708099.63
38;010402;AMAZONAS;CONDORCANQUI;EL CENEPA;1847;1732;4908;378699.89
39;010403;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;2419;2352;6970;487199.75
40;010501;AMAZONAS;LUYA;LAMUD;107;115;201;22900
41;010502;AMAZONAS;LUYA;CAMPORREDONDO;696;664;1429;142700
42;010503;AMAZONAS;LUYA;COCABAMBA;252;243;524;50900
43;010504;AMAZONAS;LUYA;COLCAMAR;190;192;372;41400
44;010505;AMAZONAS;LUYA;CONILA;181;179;333;35700
45;010506;AMAZONAS;LUYA;INGUILPATA;38;38;60;8100
46;010507;AMAZONAS;LUYA;LONGUITA;117;112;237;22399.54
47;010508;AMAZONAS;LUYA;LONYA CHICO;80;72;167;15500
48;010509;AMAZONAS;LUYA;LUYA;218;187;435;36800
49;010510;AMAZONAS;LUYA;LUYA VIEJO;38;37;87;7800
50;010511;AMAZONAS;LUYA;MARIA;76;75;143;15900
51;010512;AMAZONAS;LUYA;OCALLI;197;199;418;39400
52;010513;AMAZONAS;LUYA;OCUMAL;400;384;916;78600
53;010514;AMAZONAS;LUYA;PISUQUIA;720;710;1543;142800
54;010515;AMAZONAS;LUYA;PROVIDENCIA;153;153;372;32000
55;010516;AMAZONAS;LUYA;SAN CRISTOBAL;55;56;114;12700
56;010517;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;55;52;91;10400
57;010518;AMAZONAS;LUYA;SAN JERONIMO;56;58;90;12200
58;010519;AMAZONAS;LUYA;SN J.DE LOPECANCHA;49;49;106;10400
59;010520;AMAZONAS;LUYA;SANTA CATALINA;256;257;487;55200
60;010521;AMAZONAS;LUYA;SANTO TOMAS;321;308;720;68600
61;010522;AMAZONAS;LUYA;TINGO;110;102;213;20800
62;010523;AMAZONAS;LUYA;TRITA;150;150;302;31299.83
63;010602;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;262;246;514;54200
64;010603;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;52;53;92;10500
65;010605;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;162;165;263;36000
66;010606;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;58;58;107;11500
67;010607;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;58;60;103;11700
68;010609;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;998;975;1956;207000
69;010610;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;53;47;95;9900
70;010612;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;366;362;797;75900
71;010701;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;2829;2836;5511;562400
72;010702;AMAZONAS;UTCUBAMBA;CAJARURO;3429;3398;5965;735199.68
73;010703;AMAZONAS;UTCUBAMBA;CUMBA;1139;1114;2166;232100
74;010704;AMAZONAS;UTCUBAMBA;EL MILAGRO;256;261;512;52100
75;010705;AMAZONAS;UTCUBAMBA;JAMALCA;884;879;1743;185700
76;010706;AMAZONAS;UTCUBAMBA;LONYA GRANDE;1119;1073;2030;231800
77;010707;AMAZONAS;UTCUBAMBA;YAMON;244;248;476;49600
78;020102;ANCASH;HUARAZ;COCHABAMBA;211;212;465;42200
79;020104;ANCASH;HUARAZ;HUANCHAY;180;182;353;41600
80;020107;ANCASH;HUARAZ;LA LIBERTAD;128;126;303;25399.67
81;020110;ANCASH;HUARAZ;PARIACOTO;501;496;935;100700
82;020111;ANCASH;HUARAZ;PIRA;336;336;662;68300
83;020202;ANCASH;AIJA;CORIS;179;177;377;38400
84;020203;ANCASH;AIJA;HUACLLAN;26;26;72;5800
85;020204;ANCASH;AIJA;LA MERCED;126;130;291;27300
86;020205;ANCASH;AIJA;SUCCHA;54;51;121;10400
87;020301;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;270;272;644;55300
88;020302;ANCASH;ANTONIO RAYMONDI;ACZO;203;205;459;40899.76
89;020303;ANCASH;ANTONIO RAYMONDI;CHACCHO;164;167;363;33600
90;020304;ANCASH;ANTONIO RAYMONDI;CHINGAS;207;204;454;42000
91;020305;ANCASH;ANTONIO RAYMONDI;MIRGAS;581;579;1480;117300
92;020306;ANCASH;ANTONIO RAYMONDI;SAN JUAN DE RONTOY;161;162;401;32400
93;020402;ANCASH;ASUNCION;ACOCHACA;306;313;584;62800
94;020503;ANCASH;BOLOGNESI;ANTONIO RAYMONDI;90;89;174;18700
95;020506;ANCASH;BOLOGNESI;CANIS;6;6;13;1200
96;020510;ANCASH;BOLOGNESI;HUAYLLACAYAN;90;90;193;19500
97;020511;ANCASH;BOLOGNESI;LA PRIMAVERA;22;22;58;4500
98;020512;ANCASH;BOLOGNESI;MANGAS;23;23;55;4600
99;020513;ANCASH;BOLOGNESI;PACLLON;73;74;143;14800
100;020514;ANCASH;BOLOGNESI;SAN MIGUEL DE CORPANQUI;12;12;19;2400
101;020515;ANCASH;BOLOGNESI;TICLLOS;47;45;96;9600
102;020603;ANCASH;CARHUAZ;AMASHCA;56;56;96;11200
103;020604;ANCASH;CARHUAZ;ANTA;217;216;450;43600
104;020605;ANCASH;CARHUAZ;ATAQUERO;101;94;186;18700
105;020606;ANCASH;CARHUAZ;MARCARA;763;761;1377;155299.78
106;020607;ANCASH;CARHUAZ;PARIAHUANCA;129;129;242;26200
107;020608;ANCASH;CARHUAZ;SAN MIGUEL DE ACO;263;271;509;54600
108;020609;ANCASH;CARHUAZ;SHILLA;233;230;372;47000
109;020610;ANCASH;CARHUAZ;TINCO;65;66;137;13099.8
110;020611;ANCASH;CARHUAZ;YUNGAR;301;298;565;65100
111;020701;ANCASH;CARLOS F.FITZCARRALD;SAN LUIS;1157;1176;2340;236900
112;020702;ANCASH;CARLOS F.FITZCARRALD;SAN NICOLAS;441;445;946;89800
113;020703;ANCASH;CARLOS F.FITZCARRALD;YAUYA;554;552;1203;110200
114;020802;ANCASH;CASMA;BUENA VISTA ALTA;267;266;484;52700
115;020804;ANCASH;CASMA;YAUTAN;676;653;1304;150200
