Entity,Code,Year,Indicator:Healthy life expectancy (HALE) at birth (years) - Sex:Both sexes
Afghanistan,AFG,2000,46.76397
Afghanistan,AFG,2010,51.13087
Afghanistan,AFG,2015,52.60495
Afghanistan,AFG,2019,53.94961
Africa,,2000,45.80384
Africa,,2010,51.79792
Africa,,2015,54.41676
Africa,,2019,56.03749
Albania,ALB,2000,65.23516
Albania,ALB,2010,67.56772
Albania,ALB,2015,69.02539
Albania,ALB,2019,69.07545
Algeria,DZA,2000,62.70995
Algeria,DZA,2010,65.53103
Algeria,DZA,2015,65.98674
Algeria,DZA,2019,66.38806
Americas,,2000,64.08772
Americas,,2010,64.99203
Americas,,2015,66.02544
Americas,,2019,66.16811
Angola,AGO,2000,42.87378
Angola,AGO,2010,50.5654
Angola,AGO,2015,53.66165
Angola,AGO,2019,54.84173
Antigua and Barbuda,ATG,2000,65.53024
Antigua and Barbuda,ATG,2010,66.70147
Antigua and Barbuda,ATG,2015,66.81332
Antigua and Barbuda,ATG,2019,66.97486
Argentina,ARG,2000,65.14491
Argentina,ARG,2010,66.29948
Argentina,ARG,2015,66.85706
Argentina,ARG,2019,67.12776
Armenia,ARM,2000,63.50006
Armenia,ARM,2010,64.8445
Armenia,ARM,2015,65.99944
Armenia,ARM,2019,67.11749
Australia,AUS,2000,68.57265
Australia,AUS,2010,70.16705
Australia,AUS,2015,70.56129
Australia,AUS,2019,70.93405
Austria,AUT,2000,68.17779
Austria,AUT,2010,69.9159
Austria,AUT,2015,70.39115
Austria,AUT,2019,70.94293
Azerbaijan,AZE,2000,58.49506
Azerbaijan,AZE,2010,61.70727
Azerbaijan,AZE,2015,63.09249
Azerbaijan,AZE,2019,63.64579
Bahamas,BHS,2000,62.68615
Bahamas,BHS,2010,64.30935
Bahamas,BHS,2015,64.17484
Bahamas,BHS,2019,64.35382
Bahrain,BHR,2000,61.8783
Bahrain,BHR,2010,65.04232
Bahrain,BHR,2015,66.24379
Bahrain,BHR,2019,65.87659
Bangladesh,BGD,2000,57.04773
Bangladesh,BGD,2010,61.22227
Bangladesh,BGD,2015,63.76163
Bangladesh,BGD,2019,64.29505
Barbados,BRB,2000,65.96368
Barbados,BRB,2010,67.00449
Barbados,BRB,2015,67.20808
Barbados,BRB,2019,66.98761
Belarus,BLR,2000,60.82161
Belarus,BLR,2010,62.25875
Belarus,BLR,2015,65.0635
Belarus,BLR,2019,65.97392
Belgium,BEL,2000,67.84242
Belgium,BEL,2010,69.21256
Belgium,BEL,2015,69.9943
Belgium,BEL,2019,70.55695
Belize,BLZ,2000,62.28884
Belize,BLZ,2010,64.5653
Belize,BLZ,2015,65.06179
Belize,BLZ,2019,65.29337
Benin,BEN,2000,49.58824
Benin,BEN,2010,53.00001
Benin,BEN,2015,54.28585
Benin,BEN,2019,55.51936
Bhutan,BTN,2000,57.05869
Bhutan,BTN,2010,61.66983
Bhutan,BTN,2015,62.60034
Bhutan,BTN,2019,63.35704
Bolivia,BOL,2000,57.89188
Bolivia,BOL,2010,61.71838
Bolivia,BOL,2015,62.73053
Bolivia,BOL,2019,63.27023
Bosnia and Herzegovina,BIH,2000,66.16883
Bosnia and Herzegovina,BIH,2010,66.97844
Bosnia and Herzegovina,BIH,2015,66.96765
Bosnia and Herzegovina,BIH,2019,67.18837
Botswana,BWA,2000,40.08446
Botswana,BWA,2010,50.55534
Botswana,BWA,2015,52.78075
Botswana,BWA,2019,53.88674
Brazil,BRA,2000,61.66495
Brazil,BRA,2010,63.94749
Brazil,BRA,2015,64.6963
Brazil,BRA,2019,65.39831
Brunei,BRN,2000,63.89352
Brunei,BRN,2010,65.76172
Brunei,BRN,2015,65.70512
Brunei,BRN,2019,65.64986
Bulgaria,BGR,2000,63.53907
Bulgaria,BGR,2010,65.20113
Bulgaria,BGR,2015,65.90979
Bulgaria,BGR,2019,66.28248
Burkina Faso,BFA,2000,44.87911
Burkina Faso,BFA,2010,51.20277
Burkina Faso,BFA,2015,53.35428
Burkina Faso,BFA,2019,54.86125
Burundi,BDI,2000,38.13007
Burundi,BDI,2010,50.88001
Burundi,BDI,2015,53.96414
Burundi,BDI,2019,55.58415
Cambodia,KHM,2000,51.39313
Cambodia,KHM,2010,59.00763
Cambodia,KHM,2015,60.74785
Cambodia,KHM,2019,61.50683
Cameroon,CMR,2000,46.05244
Cameroon,CMR,2010,49.56793
Cameroon,CMR,2015,51.78416
Cameroon,CMR,2019,54.51807
Canada,CAN,2000,69.41611
Canada,CAN,2010,70.83508
Canada,CAN,2015,71.14542
Canada,CAN,2019,71.25137
Cape Verde,CPV,2000,61.98182
Cape Verde,CPV,2010,64.53008
Cape Verde,CPV,2015,65.24917
Cape Verde,CPV,2019,64.79973
Central African Republic,CAF,2000,38.69343
Central African Republic,CAF,2010,42.45177
Central African Republic,CAF,2015,44.15527
Central African Republic,CAF,2019,46.37131
Chad,TCD,2000,44.7001
Chad,TCD,2010,48.55412
Chad,TCD,2015,50.53152
Chad,TCD,2019,52.01738
Chile,CHL,2000,66.9956
Chile,CHL,2010,68.46238
Chile,CHL,2015,69.44176
Chile,CHL,2019,70.04939
China,CHN,2000,63.70847
China,CHN,2010,66.67585
China,CHN,2015,68.01219
China,CHN,2019,68.52811
Colombia,COL,2000,64.14087
Colombia,COL,2010,67.15308
Colombia,COL,2015,68.29021
Colombia,COL,2019,68.96494
Comoros,COM,2000,53.76669
Comoros,COM,2010,56.96704
Comoros,COM,2015,58.19257
Comoros,COM,2019,58.9462
Congo,COG,2000,45.35336
Congo,COG,2010,53.03023
Congo,COG,2015,54.90047
Congo,COG,2019,56.2464
Costa Rica,CRI,2000,68.03592
Costa Rica,CRI,2010,69.18748
Costa Rica,CRI,2015,70.03889
Costa Rica,CRI,2019,69.97371
Cote d'Ivoire,CIV,2000,43.96448
Cote d'Ivoire,CIV,2010,49.4642
Cote d'Ivoire,CIV,2015,52.52022
Cote d'Ivoire,CIV,2019,54.8051
Croatia,HRV,2000,65.42682
Croatia,HRV,2010,67.30939
Croatia,HRV,2015,67.90067
Croatia,HRV,2019,68.62334
Cuba,CUB,2000,67.12449
Cuba,CUB,2010,67.95462
Cuba,CUB,2015,68.04575
Cuba,CUB,2019,67.83558
Cyprus,CYP,2000,69.12556
Cyprus,CYP,2010,70.78558
Cyprus,CYP,2015,71.62617
Cyprus,CYP,2019,72.41338
Czechia,CZE,2000,65.93805
Czechia,CZE,2010,67.74052
Czechia,CZE,2015,68.2914
Czechia,CZE,2019,68.78941
Democratic Republic of Congo,COD,2000,45.25779
Democratic Republic of Congo,COD,2010,49.88082
Democratic Republic of Congo,COD,2015,52.43366
Democratic Republic of Congo,COD,2019,54.09277
Denmark,DNK,2000,67.56724
Denmark,DNK,2010,69.41515
Denmark,DNK,2015,70.52639
Denmark,DNK,2019,71.03516
Djibouti,DJI,2000,52.72825
Djibouti,DJI,2010,54.59261
Djibouti,DJI,2015,56.99679
Djibouti,DJI,2019,57.99794
Dominican Republic,DOM,2000,64.10495
Dominican Republic,DOM,2010,64.37589
Dominican Republic,DOM,2015,63.21027
Dominican Republic,DOM,2019,63.97591
Eastern Mediterranean,,2000,56.6034
Eastern Mediterranean,,2010,58.74554
Eastern Mediterranean,,2015,59.40382
Eastern Mediterranean,,2019,60.44621
Ecuador,ECU,2000,65.24841
Ecuador,ECU,2010,65.79884
